	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27
hsa-miR-92a-3p	4372345.85487277	3956098.31233681	4056589.08809297	238882.102003423	284865.811655991	278840.349397687	230553.873198546	2523954.09999969	2548328.82268328	1972611.4842184	2522081.20569757	3977018.5471904	3875053.71604776	4043217.62407363	4062387.10126795	1221811.92650208	1081104.2060995	979928.491296432	1161332.01451342	3241902.57811384	3069128.50887348	3274209.82512573	3173818.54374756	1712618	1894145.45109057	1736286.78604803	2724226.9022073
hsa-miR-92b-3p	929444.297454296	960676.289957445	897703.805949149	44273.1780066193	54240.7208350424	55443.5110253609	45938.5329818126	308845.675656026	282505.739384917	244557.265546264	289173.307432213	1767955.89782672	1671653.62420421	1654819.41146951	1755648.51198576	391547.621915147	287460.777116431	298325.911133083	317628.024208765	2120135.96769678	2057061.15247239	2057200.9000445	2221232.60076934	1257410	1404517.98162194	1305876.87185119	2382424.55598756
hsa-miR-10a-5p	717.408209835603	647.858036859727	607.193112485675	1198129.50914784	1067405.5410643	1096971.68908388	1116774.32412339	18253.5326135004	15942.5494626645	280897.27854164	18188.2488525825	560.291007059685	594.528180871532	440.762731026287	417.191167151261	282431.38308006	336343.84443506	321051.889636577	309611.329125209	5308.91892623694	4382.27861738346	6092.98609929767	5569.50991763022	1759144	1604740.51317976	1768179.50387016	500405.593528284
hsa-miR-10b-5p	674.092997166283	575.873810541979	561.795496598896	1088901.03064507	973804.965957429	998939.627930157	1014503.36501084	17889.9980228809	15743.3367654566	257202.185077595	18130.7902835479	510.853565260301	552.888074818273	420.544257125998	380.44375864571	273523.179609933	324228.228281479	309540.721389783	298996.374158747	5229.33195820694	4385.48672764509	6088.19727082036	5547.66258256527	1789225	1648554.79965953	1804857.75630793	483752.909830062
hsa-miR-191-5p	295618.204865729	361969.082827477	320810.764716906	165930.496817207	166565.189751138	168698.088002685	172750.216239935	295789.151626734	303970.907509067	272507.705493713	306567.583330863	278236.276610828	285618.740776204	306103.651155586	278504.285839045	148231.518684352	175679.25706386	176605.965412359	186415.900122029	363838.846728709	272049.354241161	347734.394775243	294939.023376888	165241	141797.702287939	163794.74197915	219857.937546161
hsa-miR-22-3p	29676.3350800675	33130.7401627432	36468.4723120485	581309.175244602	664694.451439683	658634.965574559	625925.194901575	66680.4362484196	72258.8722261272	171324.125259281	63413.3661890727	23974.805108806	27494.0366912769	25145.7159897887	22431.0504742417	729430.103950355	766609.119592844	715499.175188178	641196.909537696	16111.6794397217	22658.8827778766	13941.8759736091	15575.5893773794	8637	8138.54923607977	6737.86539617807	10759.6362423682
hsa-miR-26a-5p	163441.833405301	181490.230603621	175895.90010432	132741.266763512	151801.46561135	147299.938425998	132716.404461301	201377.682381198	199505.982567665	180206.252643997	182436.180191067	137735.067016979	150144.969071151	138872.609831521	133364.991915707	155073.068302337	162084.474352852	179637.135732088	184185.187678075	140588.03823183	173552.348933536	145775.131401641	157928.143088824	91062	78052.3809966926	80453.4596831328	101566.267352576
hsa-miR-21-5p	14938.3339693315	16844.3089583529	16326.1176132831	548389.967225302	541965.09017168	507575.945733642	533744.973721106	105906.330596814	115969.458205158	209707.027553142	111683.787684396	17088.8757153204	21331.3009953945	16184.8883571809	15507.4063893427	399351.553625473	491190.56486951	449679.056231677	414907.891337162	26970.618989463	42505.8569114364	25353.6542350393	27343.5003577239	19971	23167.0315884913	18226.4023583403	24827.9934815447
hsa-miR-181a-5p	35039.2998486876	41866.0260264019	26915.1115188744	44029.245057673	51554.0026719022	47331.4995674102	44226.015348703	20194.0904986383	21277.022799009	25709.7214481231	20194.0752625169	72058.6026684449	81718.7081295208	70584.7142332968	76170.8929952132	151134.087751315	171786.564921318	178768.858813743	148373.584380945	141554.785814077	160660.557847185	182203.749628539	162578.504409793	138507	148848.914986405	138104.160690204	135604.419957104
hsa-miR-143-3p	1210.11875394911	1184.14052292694	961.86198660114	487905.031520796	498012.119265117	463343.042473316	492362.430569575	15442.5397930764	15892.7462883625	120243.818135906	16260.7750367861	612.082612754278	698.628446004679	646.991164809228	657.130128569863	377281.541219394	413850.478342064	426360.361747996	371220.601722363	821.618405250955	782.778903837163	541.137617936052	546.183376623866	930	1149.7673436013	973.841186960542	1057.22446051863
hsa-let-7a-5p	1721.77970360545	2130.73309900532	1435.6996024194	447204.753766391	435310.692428287	444067.460765428	447342.024815918	13435.4192364166	12611.2704704659	102362.480778221	13016.9776394703	1087.62371958645	1061.82270435811	1079.6665062754	992.180029649891	151643.03981938	141288.634603685	151951.060341764	116579.575102044	2724.68325843907	1847.87151069756	2386.43285785958	2103.58626196849	2611	2450.40913500548	2870.39108805792	2108.85514082288
hsa-let-7f-5p	1423.98761650388	1817.60171452312	1177.50066206334	417604.077416178	407444.021409894	416282.008617719	416779.029485131	12687.8692331708	11936.1607743725	95240.6295479307	12102.8640411929	666.228382344079	677.80839297805	691.471807389863	665.776577629992	146137.103810316	127149.044362938	140551.676249129	109383.50480357	1329.57052473659	980.077684927267	1186.03318621382	1093.92727718094	1113	1083.86815950349	1148.15643522317	1113.16226266248
hsa-miR-30a-5p	28666.5491847139	32526.0726616742	27649.9854260416	73626.008045068	67132.0555939074	63726.0334755421	68499.4679561537	25483.262781877	25742.7074280858	33586.5535061143	25532.498676457	19673.7476722596	24012.4611573794	19785.7985588222	18639.5825613748	73551.2852303225	91589.7674089177	97990.5094613004	88999.6474659703	106988.292964103	148601.271373727	104520.970345772	117332.673490272	44735	49401.8436156413	39769.4428402908	64160.6590589879
hsa-miR-27b-3p	42638.4124713613	43032.1704927494	46719.8214494819	72676.3653347316	75171.4267501393	73035.5416720307	72671.8736345105	37269.9758467516	40727.9292069457	48189.5783927131	38199.5013954439	34834.563157404	40483.4364406685	35089.1614539505	32097.7805234667	209860.987290007	249287.553154439	261780.291617857	244654.832052567	36991.5545817118	46552.8880064798	37477.3716634296	37463.4980645976	28584	30181.8263167979	28886.3608404274	31596.4675409497
hsa-miR-25-3p	106338.847103179	117622.225803199	100070.532169427	25721.2293439752	29147.6801003971	27612.9812590162	24152.1905207132	99291.0250886396	97702.7606084012	80956.5537810558	98562.339919408	95757.9706015115	99360.2330607516	97388.3450829091	98059.3787909317	49926.6555981548	46957.8925244205	49380.0001914735	51676.2452689999	112138.03795428	94642.4608282792	102669.290001212	92888.6266004543	54650	59425.4563547295	52572.3167743531	76878.1183763906
hsa-miR-151a-3p	92675.6047068007	105132.96253707	90188.0386610732	46077.2382654041	53205.3329634525	50959.2679193471	46559.6918342844	73433.9873051397	78152.2478518606	68473.1274749006	78697.345552271	80978.5296673909	86872.8279232242	87932.1648397442	83851.1013728735	70377.2750603917	76337.9794131591	71245.5006710988	75772.5629019257	94738.922267014	82900.7772707218	83205.8947932646	83282.0412676071	43184	48751.5227199392	44286.531973603	55764.3949571971
hsa-miR-16-5p	97924.8670421638	120976.690749606	118266.464087046	71815.4255149211	75753.360079427	86413.7949245003	83041.0194188015	66332.2622743052	68020.0687244261	68319.7089109828	64776.701327075	67573.9204480723	77506.1174004661	71838.2596151147	63774.0466552522	40494.077270022	38531.7242535822	36264.8593140855	38823.643001246	63025.8563002335	81011.2003266231	63988.3261138188	63113.8299547875	39810	36756.1370250822	35657.9271846029	47493.9909102299
hsa-miR-302a-5p	52387.04252275	57540.5913070914	66876.362903212	130.445427244017	117.142423428056	166.591199305584	174.468920714205	738041.781629114	796618.374018137	587980.683545674	736660.643073521	14875.9616538242	15362.8857944274	12484.9076334281	13034.5219581456	254352.651712828	177579.026325593	216900.25353912	264116.353364118	2286.95493427403	3042.89258315389	2016.09678894759	2159.76512356409	472	442.218209077422	360.251513076095	995.692878160406
hsa-miR-363-3p	137119.720106314	150605.398301991	176886.13560085	53.4826251700469	79.3545449028766	86.2354443464202	77.9541986169852	94293.7045189968	100148.649835231	74137.5023479717	90241.2944219457	85077.1290089494	96207.1516968298	88866.2583339375	77387.8807004265	12094.5518720107	12578.5614120119	13681.8605426546	17794.8439311457	78908.1380085747	108552.826922697	89099.3463726744	89118.4007778164	54887	47967.6692669863	49206.8703812294	66772.9544191054
hsa-miR-127-3p	36771.9083554603	48819.7022886963	34746.2002593438	219385.728447532	209008.534910619	201128.494766326	234570.370479669	8740.19079137313	9080.77878105949	54818.8752862147	8655.34989911808	12670.1100840135	13331.7739547184	14361.1820113748	12511.4117900078	230882.249980074	244525.427233868	211155.067941692	179333.099160087	5667.06028237197	4560.3287369038	5009.11458726646	4630.07450983717	3384	3270.68055811772	3152.78179024338	4841.41677554961
hsa-let-7e-5p	1310.28518324691	1763.61354478481	1072.51867532516	309903.114866428	288053.21920959	296953.71250336	313528.074732819	8924.51818943373	8599.34809614043	71840.2612198338	8566.55029242827	816.89487163744	805.042050363008	847.154056422083	778.180415411679	73430.98746878	79200.3360719967	79621.5133384811	60543.616186105	2570.19090873376	1677.8416668313	2222.01641347193	1839.85771725582	2558	2389.71251807329	2899.44362943503	1899.08838278347
hsa-miR-103a-3p	65357.2415164193	72880.4299354033	70936.6121740858	30502.0542524685	29561.4573702478	28381.2606722843	32145.5892995343	98103.1374122491	96164.3958910736	82595.7100165989	100489.813735204	49529.2541912971	57072.3920244419	56783.5839489599	48995.1035992253	44537.9327926453	43449.1062059441	41009.1867870752	45467.2363317361	66525.3421003765	69393.0290141383	74943.5693937454	64590.0855956052	44994	44991.8008482535	40265.6602470117	45097.0560883662
hsa-miR-103b	65137.9582522809	72693.2709469772	70757.8590615316	30452.4849901157	29502.8861585338	28347.9424324232	32115.8924619659	97898.3291921818	96031.5874262684	82486.7020896046	100301.767509273	49449.21261886	56933.591670931	56642.0546316579	48889.1845982388	44423.8041470793	43282.5588263865	40809.0151621874	45321.604327623	66206.9942282565	69081.8423187604	74689.761484448	64301.3886679611	44850	44835.723833285	40147.1258781931	44878.8986600052
hsa-miR-107	64425.9644440289	71872.6507669549	69881.1176047182	29926.7899183224	29036.2058587478	27877.5672814427	31664.2530572802	96439.0706242021	94775.440696652	81243.2042557444	98771.2801704428	48639.3802389082	56105.4162283162	55875.774470837	48264.4786536444	43590.9734902461	42520.3928521398	40185.1036040956	44554.1467821384	65209.816334704	67813.0347102867	73490.9580889613	63205.900866847	43960	43991.1737633999	39327.8442113588	44070.5974190267
hsa-miR-181b-5p	15566.4045530367	17819.6952249584	12203.4466205649	17357.0685490889	18997.8559285339	18556.2997061797	15720.7633877587	6420.73769911067	6568.4853218267	8773.11945772164	6419.68921304533	50447.3781104285	53375.6759426025	47798.4941476718	53538.8125803235	30213.2454951147	32694.0974582409	35308.1949250115	30057.9833251087	57815.2506874454	57136.4437595896	70628.8349356889	59490.2933818715	53065	60407.0073599759	53586.8315192416	64197.0186303814
hsa-miR-28-3p	49836.8593768438	49305.5958163411	39623.6066161797	45324.5681502061	49738.2951087673	47517.6897313399	41274.8921153457	34842.9984389538	33772.0858627703	34599.9234940978	32944.6540819178	45861.4668425619	51573.5846861865	44658.565150957	48056.9638762013	83446.547256696	80885.5697261643	88340.677362814	91364.4338184725	62431.2948331858	52908.1544347643	44673.3845886677	51991.9758827924	28700	29382.3651623481	28622.5637647233	42764.449738968
hsa-miR-99b-5p	42689.8492864061	48326.6103384197	38687.2807885149	33300.1086668526	34711.9452132298	35548.6020353493	34491.6394674359	19789.5942640054	19035.8799554203	22455.6329608135	18475.5416977554	31837.7125188033	32509.3561314694	38085.5392859732	30861.3383078682	76759.2255381244	99756.2346811238	90620.5541813411	89630.7194837935	26804.4226738709	21943.4741895336	28876.6357181805	26155.9416445503	24441	18642.53234346	25258.2794732546	19032.8371794426
hsa-miR-222-3p	15333.5852849391	18849.0696613022	16694.9732423631	160764.857898344	233370.380195803	237449.296007868	170892.92652368	54438.0248938952	49919.3817086762	80161.1996470608	47899.5525497361	18176.4994349068	16794.8427748145	16443.6848231045	17751.1599204464	66651.1290105603	46243.7147781819	63997.7280712658	57781.231346183	25744.0433645299	25878.22142542	18944.6054562391	24184.9999169048	9316	10835.2132169244	8742.49075119827	17416.2346974855
hsa-miR-30d-5p	62931.5896069374	72732.862271452	66252.1456847688	30475.9651670197	31157.9952379366	31362.2631916231	29823.0491280409	43419.3426542731	43195.95317791	40732.6287201812	42085.7900646918	53465.4162240862	58930.0034222622	53447.5357554123	52522.8548157583	40299.7501167609	39703.2015843687	44066.353421725	43715.0290441538	51232.9402727284	65953.9348136734	52621.2435848435	55871.4383807551	31900	31837.9768645192	27572.0238685272	38462.8327541065
hsa-miR-125a-5p	28693.6211926323	32993.9701327395	33591.3984052239	36485.5860001515	38405.710339066	42167.1723889371	37038.1432889241	12411.3781360799	12163.0419017482	17711.7694712494	13137.1182838153	28511.2789348733	28384.6722929716	26581.2276367091	26285.2051427945	69291.5106485202	74988.6633550484	81867.5949476116	81516.9363974956	17525.518518843	16783.2288337054	19010.0527787624	19572.0911703329	15942	10380.8556844606	16286.8546960048	14115.9043709988
hsa-miR-148a-3p	57441.3864011012	68939.2935445067	59808.521579839	7835.85681454809	7810.75449115457	7228.09815339995	7977.31299180482	232718.460257001	251461.760736688	189148.939988154	260088.824488164	27298.8845288408	30145.1234433344	24185.338479525	24508.3598609378	45487.9766530328	55866.7659122817	55842.6840807076	59838.5723566688	28255.7144438299	34596.2610613933	22801.2086566329	22594.8260289627	16231	19565.1209208293	15145.6708707121	19007.6651684779
hsa-miR-151a-5p	52048.6424237709	55938.9422715215	64268.8373407151	27533.1163283946	27110.9134478899	29576.7975143597	31255.921540715	39077.4083888458	39018.020222578	34987.5072345217	38121.1488013058	48460.4637828723	49301.8855670587	51941.2594498409	45731.0690790264	37116.4862728652	42255.0461796243	36550.8187782109	38576.2997561651	38829.077225934	41707.0374562911	41041.8563267075	40955.9506271239	20445	15488.042452041	19683.6778338158	27960.5104015999
hsa-miR-181d	10344.2142255918	11773.0202142676	8049.56476692458	7658.45103349623	9027.52417966535	8541.22878322044	7030.72629431286	3020.92124599306	3148.66735309132	4021.18130689864	3024.41013372925	34570.8968011406	36363.379280621	32282.8372765905	37692.0330653707	20173.0092432925	20936.9815962505	23373.2867450138	19325.135783889	43538.7530987686	41079.8519001429	52808.0078954586	43533.9361647885	40578	47046.8148786721	41577.6730156017	50427.9286326745
hsa-miR-182-5p	12474.781248764	14853.9451006672	13159.6339051802	266.108671577794	262.625755749996	295.944365825215	292.018902755691	159299.833568366	154030.150743931	118116.144894204	167115.636283938	7191.97069986276	7754.3130828069	6306.14200949995	7025.23986135544	211761.075010782	252590.272376175	266636.403245004	248871.225314507	14330.335831756	11135.3507181098	8664.58699161324	9932.73483488831	3478	4099.62292650598	2971.49393205024	6248.25249946726
hsa-miR-3184-5p	42142.9947264559	44479.0534417361	47840.5750916868	16545.6979916311	24371.2922548144	24782.8907672837	15144.1497916394	34320.7374777821	35681.2075443459	28757.9060733324	30479.1591197067	50313.1907684016	46202.0110053161	43936.7656327167	46993.4506418053	28229.8747086564	22328.6402084861	27748.4665461325	27561.4346831709	46214.2797004832	44636.0421251572	39758.4502947883	41692.5179235995	23754	26937.1585945082	22885.2678935727	46887.0657569692
hsa-miR-423-3p	41217.1320556492	43510.8655977624	46779.4058203333	16112.619173181	23902.7225611022	24277.2374799797	14633.1167118169	33762.6350780987	35127.8389409906	28160.3811401788	29920.2439481885	49369.1710464229	45066.1614457522	43105.7863554148	46085.5734904917	27252.0698263745	21487.4347998731	27397.5162947059	27078.3062885737	45769.5289967861	44074.6228293724	39306.7041417621	41207.1949803709	23472	26517.4848431485	22640.06444435	46660.5176582866
hsa-miR-93-5p	46666.727249608	49064.4486581766	49735.9255549598	9625.56807633601	8749.78327250528	8213.92607399652	9603.21484867337	42917.5625151081	43229.1552941114	36509.5808818117	43626.7244160737	37949.1219907652	44679.8337951469	41635.9033028639	37529.9121454933	23050.9018463493	24547.3900446264	25413.9974662724	27889.6845972035	44058.409184141	52627.4447868719	48962.5786281785	48229.5526798206	28358	25180.425081585	26077.561140089	31470.6074861261
hsa-miR-20b-5p	84091.0709959	72358.5442945997	111717.857995378	112.183067429855	119.031817354315	115.6338912827	139.822610217767	51959.8454310806	50716.2324975078	43667.7680877668	54011.0548925051	48354.5264075879	64165.090088847	62028.2560786947	49909.4655873341	3575.00270840611	4217.31839083163	3904.64650105781	6497.96132637704	44779.3734827657	58270.510737075	44553.6638767349	49801.0002805641	25698	26226.1410818739	25978.7824994068	26478.1586447881
hsa-miR-30c-5p	34181.1171976767	39764.0866179237	38727.0037024158	13044.5427244017	14690.0377766635	14622.7875061055	12706.5343745686	27910.2401896748	29112.7222225192	24119.013180133	29319.5407264634	33415.0023285931	34154.1403205731	30099.2420953593	31179.095310828	21622.7514977799	23398.4954093731	25543.9790408749	23640.9286676834	42417.5131668164	60793.6894578452	39906.9039775849	50896.4880816783	24053	19379.5626919223	21500.0427207124	30111.3188940307
hsa-miR-186-5p	29375.835792174	36553.5901241521	34266.6879415397	21724.3814532186	25060.9210378989	24371.3125101758	22648.7881188142	65456.7071335174	68246.9498518018	58799.6832868191	67989.1576867356	25568.5740658623	28937.5603677898	26377.0210503162	23929.0477739091	29087.3818293957	31392.7696281383	35981.4994814522	34769.0630772099	34334.754325416	47186.4897831513	36608.9974328773	36115.2053863032	21930	19672.6406422521	19692.9746470565	25764.9516674541
hsa-miR-421	32112.8157927167	39163.0183281705	33790.0129747285	1249.66719299768	1522.85150456473	1646.31302843166	1205.19665798323	56173.7745589658	60527.4578349962	40950.6445741696	50271.0243989815	31986.0248442014	33770.1260091931	33303.870208555	31546.5693958835	20061.9651557147	19257.3936159661	21103.8084524549	21830.9309022785	39753.6905309885	37764.2699447507	37573.1482329758	37329.2930063414	22103	23978.6320663275	20297.2675077003	32678.8640124331
hsa-miR-221-3p	10555.3758873548	13338.6771366786	12779.4288721284	102380.093572467	108394.529549477	105665.857874839	105705.893324632	28514.4244388735	24691.3070817108	50991.485849528	27658.4657307364	9343.67650008357	9681.32465738272	9654.32128738771	9011.76153292025	32122.5868898544	32908.6330658067	39956.3360327953	34944.7461297907	16593.8828342565	15960.3485515979	14307.4232140438	15366.4791703292	5710	4637.22153361971	5428.1768308982	6119.59555453643
hsa-miR-130a-3p	41831.6666353952	46796.9455291676	52164.6980049025	7431.47599009164	7153.24540481645	6949.7928557365	9537.63433237654	26993.7234048736	28083.4566202784	23146.0164984437	27486.0900236327	33290.2316421471	36594.7132031391	37954.1192056214	33682.2423137355	17162.48064674	16146.627306263	15566.5933743903	15725.9448250953	39704.5338742641	44873.4422845177	43602.2832859093	41274.297509499	22087	22492.4320460163	19533.76672031	29202.3296091932
hsa-miR-26b-5p	29232.3541502069	31960.9964850798	31619.4394651419	24018.9165184408	23653.322562836	22919.0292315236	22990.3017508506	13235.7312218509	13579.6655263376	14534.3902658987	12322.2513047795	20219.913695948	22147.9097418834	18762.7437794676	18985.4405237799	22128.6190078563	21902.3918302963	24478.1301291347	24540.1485026036	27740.7399448122	36623.786746742	25869.2514344297	27023.5929514157	17317	13422.6232872912	14405.4121164235	16705.8246102587
hsa-miR-100-5p	2038.52219624984	2271.10234032493	1943.58543015275	117592.639297664	117590.209788579	132753.586881927	125283.533491583	988.199661824848	735.980242462469	29694.566779357	778.302435104764	1789.16456035866	2017.23180435788	2197.74811296135	1768.19883279654	4679.27446820714	5431.13827574301	5594.40697088976	4697.21003742375	11762.4857161996	11204.3250887348	11252.1506455199	10357.1973447217	5048	4302.52304596504	4852.93651163153	4830.22921512084
hsa-miR-30e-5p	23839.6101728767	27533.9665665384	28557.9377437772	24496.3467821539	21183.8847012155	20420.1612419398	28882.649271709	47116.1310264883	52038.7834595268	42702.8460673363	45972.0787339398	19344.1647269304	21798.5955188811	15988.7691603481	16365.5664585606	19916.990930266	23892.4918741626	29370.6365971712	25601.1816754272	25781.4960553676	40138.2715383552	26692.929932527	30150.8829135706	14683	12985.6076453794	11589.6398061545	19897.076222565
hsa-miR-204-5p	69217.7098455724	82360.7525414507	64339.7711155382	36.5247196283247	41.5666663776973	47.0375150980474	77.9541986169852	7388.45653892878	7321.06662238983	5696.67351810641	7464.39046821951	82216.8198762707	83141.4117530072	74842.7248366975	79389.5336578465	63480.2033986176	86045.7156555085	103187.172813907	95314.9908824278	12017.6321725311	11270.0913490982	11308.0203110885	12476.3888460223	1857	1715.11297559832	1556.05411615771	4144.99113885877
hsa-miR-302c-3p	15076.401209715	15318.2433604166	20471.4874139446	73.0494392566494	83.1333327553946	96.0349266585134	108.888404417376	289716.587901738	264050.89646302	231355.194388072	293305.100896427	3712.51646274422	4272.73754890941	3445.22795260914	3404.5393174261	95278.9116997036	92445.087002239	87168.2435598998	110516.198168894	646.058916949469	1034.61555937494	737.47958550577	752.172535807724	200	180.35566174138	126.669080404175	341.220593077442
hsa-miR-302a-3p	24703.2072254712	26691.7511186207	33713.4044979196	53.4826251700469	73.6863631240997	70.5562726470711	110.125772649392	226471.809544947	225774.390168938	181849.446210169	227232.970012936	6217.34684724634	7041.80460145114	6051.38923835631	5447.26290788176	108752.260992471	103259.375325717	102929.809296194	120946.223606323	1039.3121707448	1477.33477547956	984.902390166797	1047.11155918461	276	206.368497569464	182.449959848216	453.096197365128
hsa-miR-302d-3p	18062.4436831062	19878.4440976459	26744.8704592989	56.0915337149273	69.9075752715818	97.994823120932	95.2773538652042	256066.597344676	232071.724875121	200808.750845908	249239.60195318	5459.30607298912	6014.68198547075	4907.02361559999	4943.6072501292	101886.03491058	91711.1493974089	88600.6405120189	110897.615322523	840.344750669781	1434.02528694759	1077.48640739479	1153.22718664296	228	163.013771189324	175.477349917711	458.689977579513
hsa-miR-99a-5p	1908.57655824189	2170.32442348008	1861.30225135796	102942.313363888	103502.888674392	117566.349194645	110350.973667619	911.3965792996	636.373893858526	26258.7984137237	684.279322139088	1720.8938073976	1943.20494915209	2155.28931777074	1696.86562805047	4157.98416818934	4781.8857791625	4952.29799235362	4209.45840460071	12176.8061085911	11691.9578485022	11718.263283978	10828.4755725514	5171	4401.37182211176	4964.49827051961	5000.83951165956
hsa-miR-130b-3p	39221.9250720687	46163.4843375714	45599.067807277	4107.72650391409	4736.71057313123	4821.34529754986	5099.19448413645	19538.7041944229	19899.1349766544	15551.7975845116	18987.4453127907	30872.5053217677	34360.0275116142	35837.2449882612	31974.5686243599	6153.69318660069	6441.71390085527	5771.1819123491	6629.72361581265	28653.6492839799	30985.5329619313	28937.2942122264	29241.0974605086	16901	17634.9685023855	15314.1756106993	26150.9225022466
hsa-miR-302b-3p	22042.0288470999	18820.2759707751	32501.8556239412	56.0915337149273	83.1333327553946	76.435962034327	103.938931489314	253547.456237848	199500.448881631	188688.684296401	234347.385560672	5487.55603973162	6232.13587263777	4727.07919788742	4621.52702263936	70864.6352225385	72352.1336515432	66516.7709870614	96084.7600470253	655.422089658882	1053.8642209447	799.734355710802	817.714541002588	215	145.671880637269	133.641690334681	399.955285328478
hsa-miR-20a-5p	32705.692766128	35959.7202570307	42387.1864832874	8176.31937965498	5940.25450415819	5544.54709218234	9348.31699287815	51104.7711122995	48491.6907120197	43223.661718531	52219.3922398814	18320.1034325146	23184.2857147646	20125.4689203471	16663.8689511351	6696.57539253639	10038.0081645229	8461.80050661996	10651.940872268	22530.1343320241	32066.6661200998	21645.5047174421	24810.7700141224	15674	13044.5700732564	14263.6357145032	13106.2270423024
hsa-miR-17-5p	31782.5372961131	33429.4747019619	40307.4082054743	6567.92726173625	5443.34390155209	5099.6505952133	6978.7568285682	45032.2073873033	46997.5954829605	39392.2349512149	48160.7278635297	20664.8506721425	25083.5372186382	23637.4178368272	19616.6313051694	7652.78836890041	9905.33482826519	9088.3116962038	10940.8932613812	21907.4833468481	30149.8202387773	21825.8839234208	24224.0130152351	15454	12241.6405406962	14195.0717168532	14135.4826017491
hsa-miR-125b-5p	1654.09968380963	1835.59777110256	1915.21192022351	40734.1935654891	39531.7891191164	42233.8088686593	41293.4526388259	1966.15891264633	1909.12168157558	10723.1501517297	1817.78018400307	1480.76909008631	1475.91042566551	1427.42425736036	1294.80574675443	48800.7919324358	51725.6641188747	58593.0941992956	49440.9095868204	7523.30927201302	9305.12381385119	9713.34042814418	9971.74793321858	3869	2492.02967233041	3531.62692980082	3952.00572146251
hsa-miR-9-5p	2195.53984217613	2242.30864979783	1018.60900645961	13.0445427244017	17.0045453363307	15.6791716993491	25.9847328723284	2734.1897378988	2855.38199331304	2111.52391918473	3139.32727179841	22880.1188975339	24287.7485251759	20505.5762296725	20548.2861913984	1600.88559591266	1222.28839573634	1793.74572951391	1574.21261588857	28698.1243543496	37398.5453749251	35609.7285572786	28130.0044200623	23901	26486.2694401548	25068.8569034759	14890.642930691
hsa-miR-181a-2-3p	4686.16457066199	5456.40435488525	3262.95364186227	4795.17390549006	5696.52268767079	5326.99858485387	4516.39404685708	3087.48391751494	3004.79151621895	3524.58963948044	3019.18662745338	13649.4422644204	12866.792770457	12796.2721314925	13674.3591885952	11298.7359110368	14786.0199003856	14178.390157636	13982.9840139647	15119.183132524	11768.9524947813	14427.1439259765	12783.8120608649	10615	12682.1245607184	11093.4223994336	11492.4214504525
hsa-miR-199a-3p	189.504055428272	140.369241319607	170.241059575423	46743.814398621	53673.9026571647	53197.4696794292	48268.497362698	3128.4455615284	3325.74530616499	15402.4163512232	2867.70494545312	129.479014236482	85.5935513316991	97.0486747213843	97.2725519264599	53060.5665142381	47564.8024668761	52333.1815664413	43816.7402851216	91.2909339167728	136.344686119178	103.757950341721	107.676151391562	69	53.7598607113729	84.833420821145	86.7035933229567
hsa-miR-423-5p	14437.5018228425	13615.8164080019	13763.9896666729	5806.12596663119	8037.48176230565	8290.36203603085	5735.20175539248	8888.67675092194	9224.65461793185	7255.08314106111	7798.69486987525	19339.45639914	17185.7971038701	15630.902172313	19681.4796731204	15250.0546940119	10266.6579567969	13154.1353497687	11289.9477474299	12661.3502963032	14593.6935801445	13212.3777688988	15692.6286723703	9134	12258.9824312482	9110.87697585996	25345.4181513753
hsa-miR-199b-3p	189.504055428272	133.170818687833	173.078410568347	46450.312187322	53324.3647808068	52838.8086268066	48002.4631928147	3128.4455615284	3309.14424806434	15301.4830854878	2862.48143917725	129.479014236482	85.5935513316991	99.0705221114131	97.2725519264599	52662.6585337512	47240.1762185859	51997.829103967	43472.3090372987	88.9501407394197	134.740630988364	103.757950341721	107.676151391562	67	52.0256716561673	85.9955224762292	86.7035933229567
hsa-miR-106a-5p	30737.5577904658	32648.4458464143	43249.7411851362	211.321592135307	230.506059003594	219.508403790888	318.003635628019	20219.6915261468	20092.8139878288	16601.5035481599	20397.7920072759	20490.6425438971	24604.6759990257	22735.6739008743	19162.6927295126	1980.28622847	2114.30486929912	2342.26797433628	3245.51323451916	17644.898970888	24047.9945211614	17394.6213057497	19821.7749996467	10907	9153.04983337504	9683.79309181646	11072.8879343737
hsa-miR-320a	15720.7149981711	20490.3100213468	17705.070195844	8035.43831823144	8636.41963692974	8280.56255371876	8275.51873572059	10475.9404564437	10519.5371497831	10077.1772510231	10394.7774889831	14934.8157512044	15841.7470140399	16047.4027346589	14893.5085060735	8627.50869319405	8019.67975124007	8012.06425849546	8696.31110275007	14892.1261943207	12246.9609237638	17311.6149454764	14308.4439436121	9009	7561.06428069632	8356.67300171033	12457.3485374338
