	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27
hsa-miR-30d-3p	419.616122734032	565.076176594317	556.120794613048	485.256989347743	430.781815187045	446.85639343145	524.644130374631	629.785276707027	818.985532965755	585.412941265365	705.173347242571	447.291140089664	587.588163195988	402.347630615739	445.292126596683	317.709472791915	361.323128531759	361.348777394831	416.09144032297	564.131155742109	773.154573052279	544.330170254259	568.030711688821	292	346.837811041115	260.310770738856	330.033032648674
hsa-miR-1275	351.93610293822	345.524286325187	368.855629080083	170.883509689662	166.266665510789	152.871924068654	157.145765465986	2662.50686087524	2589.76506370252	2309.35312002613	2972.17507097054	381.374551023819	400.207685956323	454.915662756489	376.120534115645	468.852814217195	347.208943823488	272.96130666516	342.119628709997	484.544187712102	474.800318720902	731.094480869356	433.825653432671	354	341.635243875499	426.491307415893	475.471318222666
hsa-miR-330-5p	452.102532236021	518.286429487781	493.699072768727	420.034275725734	517.693935794957	442.936600506613	504.846238662381	1080.36336085514	1211.87724134798	1053.74329427766	1128.27735558811	261.312192368172	372.44761525415	262.840160703749	179.413817997693	465.768256228924	539.161855855985	538.123718854173	580.216397339252	294.939940346497	317.602915901144	258.59673777475	224.715446382391	198	190.760796072614	225.447721086331	262.907670076062
hsa-miR-23c	175.96805146911	215.952678953242	229.825430426821	546.566340152431	309.860603906471	309.663641062145	451.639404685708	209.928425569009	160.47689497302	230.12784587673	151.481682000256	200.103931092745	180.440459564122	208.25028117297	164.282532142466	1801.38186515028	1967.5173483331	1991.31772290964	2131.31282209877	327.711044829441	296.750199200564	272.963223206681	254.3654011134	165	91.9120199258956	182.449959848216	145.438285573992
hsa-miR-548k	579.340969452147	615.46513501674	746.223311138937	268.717580122675	321.196967464024	372.380327859542	334.089422644222	1674.30719905039	1981.05960001176	1635.11890491361	1765.54512124436	371.957895442984	402.521025181504	380.107309325422	345.857962405191	450.345466287569	527.870508089367	548.522244822369	543.230491532766	400.275633327389	633.601776671474	432.590839117021	418.22041410056	268	213.305253790286	230.096127706667	352.408153506211
hsa-miR-193a-5p	59.5584174203142	89.9802828971842	39.722913900932	1235.31819600084	1165.75605250178	1256.29363241035	1302.94874831247	189.447603562276	193.679011174334	553.114296230034	177.599213379611	138.895669817317	111.040282808691	115.245301231644	116.727062311752	185.073479296261	225.82695533235	207.970519363931	150.25524233885	53.8382430791224	43.3094885319742	28.7329708638612	32.771002597432	17	36.4179701593171	20.9178297915152	30.7657911791137
hsa-miR-216a-3p	947.520277141362	1007.77916844846	697.988344259234	1.30445427244017	1.88939392625897	3.91979292483728	2.47473646403128	0	5.5336860335524	8.07466125883262	0	437.874484508829	488.114576513203	442.784578416316	484.201147367267	49.3529278123364	56.4567388330874	31.1955779045897	34.6742866935808	1699.41584675839	1687.46599761618	1877.2207631056	1605.77912727417	452	490.775502623178	347.468394870169	696.425636690846
hsa-miR-625-5p	525.196953615498	532.683274751331	712.175099223853	194.363686593585	198.386362257192	186.190163929771	155.90839723397	440.337673144751	354.155906147354	322.986450353305	443.998033449026	786.290740999726	814.295407263732	663.165943929459	724.140108785868	206.665385214159	160.901705674299	202.771256379833	175.683052580809	699.897160028592	906.29114890983	788.560422597079	930.072264193783	447	358.977134427555	452.057543827745	805.504350871339
hsa-miR-708-3p	305.913689477068	295.135327902764	241.174834398516	1090.52377175998	874.789387857902	830.996100065504	1139.6161416864	399.376029131286	403.959080449325	545.039634971202	454.445046000768	329.582945329226	347.000883777159	200.162891612855	263.716696333958	320.794030780186	287.929368048746	426.339564696059	374.482296290673	316.007078942675	445.927326366252	340.006821889024	344.875789239641	286	305.217273716182	244.041347567677	313.251692005521
hsa-miR-411-3p	384.42251244021	485.893527644795	411.415893973939	1914.93887194217	1938.5181683417	1846.22246759836	2066.40494746612	56.3222605185146	33.2021162013144	440.069038606378	31.3410376552254	124.770686446064	80.966872881337	60.6554217008652	84.3028783362653	1082.67985388313	711.354909296901	733.096080757858	626.44877959736	23.4079317735315	27.2689372238356	17.5590377501374	10.9236675324773	21	20.8102686624669	17.4315248262627	25.1720109647294
hsa-miR-487b	530.611355199163	619.064346332628	561.795496598896	1788.40680751547	2153.90907593522	2063.77097492683	1890.6986585199	10.2404110033663	16.6010581006572	423.919716088713	5.2235062758709	249.541372892129	240.58727941883	208.25028117297	283.17120671925	262.187429003037	217.358444507387	231.367202792374	201.110862822769	91.2909339167728	81.8068116715068	81.4100841142733	82.7077684601854	68	91.9120199258956	55.7808794440406	137.047615252415
hsa-miR-379-3p	376.300910064712	511.088006856006	419.92794695271	1857.5428839548	1906.3984715953	1846.22246759836	2015.67284995348	56.3222605185146	33.2021162013144	411.807724200464	41.7880502069672	127.124850341273	85.5935513316991	78.8520482111247	90.7877151313626	1051.83427400042	700.063561530284	701.900502853269	644.941732500603	21.0671385961783	20.8527167005801	17.5590377501374	12.4841914656884	21	19.0760796072614	17.4315248262627	25.1720109647294
hsa-miR-222-5p	100.166429297801	129.571607371945	127.680794681567	1244.44937590792	1267.78332451977	1514.99996544961	971.334062132276	1039.40171684168	1173.14143911311	1126.41524560715	1102.15982420876	256.603864577755	222.080565617381	246.665381583518	192.383491587887	626.165271619018	688.772213763667	699.300871361219	538.607253306955	351.118976602972	343.267797994166	247.422804661027	291.817975510466	120	124.861611974802	118.534368818586	142.6413954668
hsa-miR-1468	936.691473974032	773.830432915785	825.669138940801	60.0048965322478	77.4651509766177	74.4760655719084	61.8684116007819	353.294179616137	343.088534080249	286.650474688558	376.092451862705	706.249168562628	897.57561937025	675.297028269632	760.88751729142	98.7058556246727	124.204825432792	124.782311618359	134.073908548512	517.315292195046	486.028704636599	541.137617936052	571.151759555243	223	289.609572219331	213.826704535489	377.58016447094
hsa-miR-141-3p	92.0448269223037	125.972396056058	158.891655603728	5.21781708976068	5.6681817787769	5.87968938725592	3.71210469604692	2068.56302267999	2373.95130839398	1623.00691302536	2219.99016724513	58.854097380219	55.5201414043454	58.6335743108363	38.909020770584	2171.5288237428	2992.20715815363	3402.91762309233	3693.96734242281	42.1342771923567	64.1622052325543	35.1180755002748	24.9683829313767	11	13.8735124416446	6.97260993050507	19.5782307503451
hsa-miR-370	406.080118774869	467.897471065358	391.554437023473	2023.2085765547	2112.34240955753	2118.64807587455	1929.05707371238	30.7212330100989	0	427.957046718129	20.8940251034836	153.020653188569	180.440459564122	111.201606451586	140.504797227109	129.551435507383	84.6851082496311	127.381943110408	108.646098306553	77.2461748526539	60.9540949709266	51.0808370913087	45.2551940631203	38	52.0256716561673	40.6735579279462	92.297373537341
hsa-miR-3065-3p	235.526468889424	345.524286325187	297.92185425699	32.6113568110042	20.7833331888486	29.3984469362796	22.2726281762815	204.808220067326	276.68430167762	157.455894547236	193.269732207223	362.541239862149	501.994611864289	376.063614545364	421.514391681326	58.6066017771494	101.622129899557	106.584891174015	83.2182880645939	545.404810323284	712.200478081353	552.311551049776	538.380756957811	285	256.659980170425	223.123517776162	416.73662597163
hsa-miR-29b-3p	5.41440158366493	0	5.67470198584743	2302.3617908569	1547.41362560609	1593.39582394635	3009.27954026203	92.1636990302967	77.4716044697336	492.55433678879	99.2466192415471	9.41665558083504	9.25335690072423	10.1092369501442	4.32322453006489	243.680081073411	279.460857223783	275.560938157209	282.017531774457	2.34079317735315	17.6446064389524	11.1739331137238	15.6052393321105	5	5.20256716561673	4.64840662033671	8.39067032157645
hsa-miR-493-3p	102.873630089634	122.373184740171	104.981986738177	2248.87916568685	2545.01361867083	2543.9456082194	2224.78808116412	0	11.0673720671048	500.628998047622	0	32.9582945329226	25.4467314769916	18.1966265102595	10.8080613251622	3.08455798827102	5.64567388330874	5.19926298409829	0	9.3631727094126	12.8324410465109	4.78882847731019	7.80261966605523	6	1.73418905520558	8.13471158558925	19.5782307503451
hsa-miR-129-2-3p	81.2160237549739	133.170818687833	107.819337731101	6.52227136220084	7.55757570503587	11.7593787745118	14.8484187841877	174.086987057227	182.611639107229	80.7466125883262	104.470125517418	298.978814691513	319.240813074986	329.561124574701	309.110553899639	623.080713630747	612.555616338998	649.907873012286	446.14248879074	1507.47080621543	887.042487340063	793.349251074389	1090.80622931452	365	223.710388121519	245.203449222762	464.283757793897
hsa-miR-374b-3p	443.980929860524	593.869867121416	482.349668797032	168.274601144782	145.48333232194	137.192752369305	175.706288946221	1295.41199192584	1488.5615430256	936.660706024584	1326.77059407121	383.728714919028	448.787809685125	359.888835425133	319.918615224801	203.580827225887	282.283694165437	296.357990093602	362.924200726146	421.342771923567	612.749059970894	392.683935139436	362.041552504963	228	294.812139384948	202.205687984647	285.282790933599
hsa-miR-10a-3p	0	0	0	1171.39993665127	1199.76514317444	1222.97539254923	1153.22719223858	10.2404110033663	5.5336860335524	347.210434129803	26.1175313793545	0	2.31333922518106	0	0	172.735247343177	112.913477666175	158.577521014998	113.269336532364	4.6815863547063	0	3.1925523182068	1.56052393321105	484	381.521592145227	495.05530506586	142.6413954668
hsa-miR-25-5p	311.328091060733	381.516399484061	354.668874115465	199.581503683346	262.625755749996	229.307886102981	196.741548890487	578.583221690196	503.565429053269	351.247764759219	454.445046000768	440.228648404038	439.534452784401	388.194698885537	391.251819970872	700.194663337522	479.882280081243	480.931826029091	460.012203468172	526.678464904459	519.71386238369	514.000923231294	574.272807421665	349	443.952398132628	320.740056803233	799.910570656955
